section,building,unit,lease_due,collected,collected_on,note
header,month,2026-06,,,,
header,opening_price,1.012383,,,,
header,closing_price,1.016626,,,,
header,shares_open,9704000,,,,
header,shares_close,10240000,,,,
header,buildings_at_cost,10900000.000000,,,,
header,previous_roll,0xc26bb32aa3064a1037fee8e6ef3ceaf15dc45afe6e8b857cdfb58dd2fb2617f3,,,,
rent,Rua da Bica 14,1A,815.000000,815.000000,2026-06-19,late
rent,Rua da Bica 14,1B,815.000000,815.000000,2026-06-02,
rent,Rua da Bica 14,2A,815.000000,815.000000,2026-06-04,
rent,Rua da Bica 14,2B,815.000000,815.000000,2026-06-02,
rent,Rua da Bica 14,3A,815.000000,815.000000,2026-06-01,
rent,Rua da Bica 14,3B,815.000000,545.000000,2026-06-02,"partial, balance chased"
rent,Rua da Bica 14,4A,815.000000,815.000000,2026-06-15,late
rent,Rua da Bica 14,4B,815.000000,815.000000,2026-06-04,
rent,Mesón de Paredes 41,1A,980.000000,0.000000,,not received
rent,Mesón de Paredes 41,1B,980.000000,980.000000,2026-06-08,late
rent,Mesón de Paredes 41,2A,980.000000,980.000000,2026-06-20,late
rent,Mesón de Paredes 41,2B,980.000000,980.000000,2026-06-01,
rent,Mesón de Paredes 41,3A,980.000000,980.000000,2026-06-01,
rent,Mesón de Paredes 41,3B,980.000000,980.000000,2026-06-05,
rent,Mesón de Paredes 41,4A,980.000000,0.000000,,not received
rent,Mesón de Paredes 41,4B,0.000000,0.000000,,vacant
rent,Mesón de Paredes 41,5A,980.000000,980.000000,2026-06-04,
rent,Torrent de l'Olla 62,1A,1125.000000,630.000000,2026-06-01,"partial, balance chased"
rent,Torrent de l'Olla 62,1B,1125.000000,1125.000000,2026-06-01,
rent,Torrent de l'Olla 62,2A,1125.000000,1125.000000,2026-06-01,
rent,Torrent de l'Olla 62,2B,1125.000000,350.000000,2026-06-15,"partial, balance chased"
rent,Torrent de l'Olla 62,3A,1125.000000,1125.000000,2026-06-03,
rent,Torrent de l'Olla 62,3B,1125.000000,1125.000000,2026-06-05,
rent,Carrer del Nord 15,1A,590.000000,590.000000,2026-06-03,
rent,Carrer del Nord 15,1B,590.000000,590.000000,2026-06-01,
rent,Carrer del Nord 15,2A,590.000000,590.000000,2026-06-08,late
